ano,sigla_uf,id_municipio,indicador,prop_pessoas_proximas_ciclovias
2019,SE,280030,PNB Geral,20
2019,PA,150140,PNB Geral,30
2019,MG,310620,PNB Geral,11
2019,RR,140010,PNB Geral,15
2019,DF,530010,PNB Geral,28
2019,MS,500270,PNB Geral,13
2019,MT,510340,PNB Geral,2
2019,PR,410690,PNB Geral,18
2019,SC,420540,PNB Geral,15
2019,CE,230440,PNB Geral,38
2019,GO,520870,PNB Geral,5
2019,PB,250750,PNB Geral,9
2019,AP,160030,PNB Geral,0
2019,AL,270430,PNB Geral,7
2019,AM,130260,PNB Geral,1
2019,RN,240810,PNB Geral,2
2019,TO,172100,PNB Geral,1
2019,RS,431490,PNB Geral,13
2019,RO,110020,PNB Geral,1
2019,PE,261160,PNB Geral,22
2019,AC,120040,PNB Geral,4
2019,RJ,330455,PNB Geral,15
2019,BA,292740,PNB Geral,20
2019,MA,211130,PNB Geral,1
2019,SP,355030,PNB Geral,19
2019,PI,221100,PNB Geral,9
2019,ES,320530,PNB Geral,21
2019,SE,280030,PNB 0 1/2,16
2019,PA,150140,PNB 0 1/2,24
2019,MG,310620,PNB 0 1/2,10
2019,RR,140010,PNB 0 1/2,12
2019,DF,530010,PNB 0 1/2,22
2019,MS,500270,PNB 0 1/2,11
2019,MT,510340,PNB 0 1/2,2
2019,PR,410690,PNB 0 1/2,14
2019,SC,420540,PNB 0 1/2,10
2019,CE,230440,PNB 0 1/2,33
2019,GO,520870,PNB 0 1/2,3
2019,PB,250750,PNB 0 1/2,5
2019,AP,160030,PNB 0 1/2,0
2019,AL,270430,PNB 0 1/2,4
2019,AM,130260,PNB 0 1/2,1
2019,RN,240810,PNB 0 1/2,2
2019,TO,172100,PNB 0 1/2,0
2019,RS,431490,PNB 0 1/2,10
2019,RO,110020,PNB 0 1/2,0
2019,PE,261160,PNB 0 1/2,16
2019,AC,120040,PNB 0 1/2,2
2019,RJ,330455,PNB 0 1/2,12
2019,BA,292740,PNB 0 1/2,15
2019,MA,211130,PNB 0 1/2,1
2019,SP,355030,PNB 0 1/2,15
2019,PI,221100,PNB 0 1/2,6
2019,ES,320530,PNB 0 1/2,13
2019,SE,280030,PNB 1/2 1,19
2019,PA,150140,PNB 1/2 1,29
2019,MG,310620,PNB 1/2 1,10
2019,RR,140010,PNB 1/2 1,14
2019,DF,530010,PNB 1/2 1,24
2019,MS,500270,PNB 1/2 1,12
2019,MT,510340,PNB 1/2 1,2
2019,PR,410690,PNB 1/2 1,13
2019,SC,420540,PNB 1/2 1,9
2019,CE,230440,PNB 1/2 1,35
2019,GO,520870,PNB 1/2 1,3
2019,PB,250750,PNB 1/2 1,7
2019,AP,160030,PNB 1/2 1,0
2019,AL,270430,PNB 1/2 1,5
2019,AM,130260,PNB 1/2 1,1
2019,RN,240810,PNB 1/2 1,2
2019,TO,172100,PNB 1/2 1,1
2019,RS,431490,PNB 1/2 1,9
2019,RO,110020,PNB 1/2 1,0
2019,PE,261160,PNB 1/2 1,17
2019,AC,120040,PNB 1/2 1,4
2019,RJ,330455,PNB 1/2 1,11
2019,BA,292740,PNB 1/2 1,17
2019,MA,211130,PNB 1/2 1,1
2019,SP,355030,PNB 1/2 1,15
2019,PI,221100,PNB 1/2 1,8
2019,ES,320530,PNB 1/2 1,15
2019,SE,280030,PNB 1 3,23
2019,PA,150140,PNB 1 3,36
2019,MG,310620,PNB 1 3,12
2019,RR,140010,PNB 1 3,18
2019,DF,530010,PNB 1 3,28
2019,MS,500270,PNB 1 3,14
2019,MT,510340,PNB 1 3,2
2019,PR,410690,PNB 1 3,17
2019,SC,420540,PNB 1 3,13
2019,CE,230440,PNB 1 3,40
2019,GO,520870,PNB 1 3,5
2019,PB,250750,PNB 1 3,10
2019,AP,160030,PNB 1 3,0
2019,AL,270430,PNB 1 3,9
2019,AM,130260,PNB 1 3,2
2019,RN,240810,PNB 1 3,3
2019,TO,172100,PNB 1 3,1
2019,RS,431490,PNB 1 3,14
2019,RO,110020,PNB 1 3,1
2019,PE,261160,PNB 1 3,27
2019,AC,120040,PNB 1 3,6
2019,RJ,330455,PNB 1 3,14
2019,BA,292740,PNB 1 3,22
2019,MA,211130,PNB 1 3,1
2019,SP,355030,PNB 1 3,20
2019,PI,221100,PNB 1 3,11
2019,ES,320530,PNB 1 3,21
2019,SE,280030,PNB 3 mais,23
2019,PA,150140,PNB 3 mais,44
2019,MG,310620,PNB 3 mais,14
2019,RR,140010,PNB 3 mais,24
2019,DF,530010,PNB 3 mais,42
2019,MS,500270,PNB 3 mais,18
2019,MT,510340,PNB 3 mais,3
2019,PR,410690,PNB 3 mais,29
2019,SC,420540,PNB 3 mais,25
2019,CE,230440,PNB 3 mais,59
2019,GO,520870,PNB 3 mais,14
2019,PB,250750,PNB 3 mais,21
2019,AP,160030,PNB 3 mais,0
2019,AL,270430,PNB 3 mais,24
2019,AM,130260,PNB 3 mais,4
2019,RN,240810,PNB 3 mais,6
2019,TO,172100,PNB 3 mais,2
2019,RS,431490,PNB 3 mais,22
2019,RO,110020,PNB 3 mais,1
2019,PE,261160,PNB 3 mais,42
2019,AC,120040,PNB 3 mais,9
2019,RJ,330455,PNB 3 mais,30
2019,BA,292740,PNB 3 mais,36
2019,MA,211130,PNB 3 mais,5
2019,SP,355030,PNB 3 mais,31
2019,PI,221100,PNB 3 mais,16
2019,ES,320530,PNB 3 mais,30
2019,SE,280030,PNB Mulheres negras,19
2019,PA,150140,PNB Mulheres negras,30
2019,MG,310620,PNB Mulheres negras,10
2019,RR,140010,PNB Mulheres negras,15
2019,DF,530010,PNB Mulheres negras,26
2019,MS,500270,PNB Mulheres negras,13
2019,MT,510340,PNB Mulheres negras,2
2019,PR,410690,PNB Mulheres negras,13
2019,SC,420540,PNB Mulheres negras,9
2019,CE,230440,PNB Mulheres negras,36
2019,GO,520870,PNB Mulheres negras,4
2019,PB,250750,PNB Mulheres negras,7
2019,AP,160030,PNB Mulheres negras,0
2019,AL,270430,PNB Mulheres negras,6
2019,AM,130260,PNB Mulheres negras,1
2019,RN,240810,PNB Mulheres negras,2
2019,TO,172100,PNB Mulheres negras,1
2019,RS,431490,PNB Mulheres negras,10
2019,RO,110020,PNB Mulheres negras,0
2019,PE,261160,PNB Mulheres negras,19
2019,AC,120040,PNB Mulheres negras,4
2019,RJ,330455,PNB Mulheres negras,12
2019,BA,292740,PNB Mulheres negras,18
2019,MA,211130,PNB Mulheres negras,1
2019,SP,355030,PNB Mulheres negras,15
2019,PI,221100,PNB Mulheres negras,8
2019,ES,320530,PNB Mulheres negras,17
2019,SE,280030,PNB Mulheres menos 1 salário mínimo,19
2019,PA,150140,PNB Mulheres menos 1 salário mínimo,29
2019,MG,310620,PNB Mulheres menos 1 salário mínimo,11
2019,RR,140010,PNB Mulheres menos 1 salário mínimo,14
2019,DF,530010,PNB Mulheres menos 1 salário mínimo,26
2019,MS,500270,PNB Mulheres menos 1 salário mínimo,13
2019,MT,510340,PNB Mulheres menos 1 salário mínimo,2
2019,PR,410690,PNB Mulheres menos 1 salário mínimo,16
2019,SC,420540,PNB Mulheres menos 1 salário mínimo,13
2019,CE,230440,PNB Mulheres menos 1 salário mínimo,37
2019,GO,520870,PNB Mulheres menos 1 salário mínimo,5
2019,PB,250750,PNB Mulheres menos 1 salário mínimo,8
2019,AP,160030,PNB Mulheres menos 1 salário mínimo,0
2019,AL,270430,PNB Mulheres menos 1 salário mínimo,6
2019,AM,130260,PNB Mulheres menos 1 salário mínimo,1
2019,RN,240810,PNB Mulheres menos 1 salário mínimo,2
2019,TO,172100,PNB Mulheres menos 1 salário mínimo,1
2019,RS,431490,PNB Mulheres menos 1 salário mínimo,11
2019,RO,110020,PNB Mulheres menos 1 salário mínimo,0
2019,PE,261160,PNB Mulheres menos 1 salário mínimo,20
2019,AC,120040,PNB Mulheres menos 1 salário mínimo,4
2019,RJ,330455,PNB Mulheres menos 1 salário mínimo,13
2019,BA,292740,PNB Mulheres menos 1 salário mínimo,18
2019,MA,211130,PNB Mulheres menos 1 salário mínimo,1
2019,SP,355030,PNB Mulheres menos 1 salário mínimo,17
2019,PI,221100,PNB Mulheres menos 1 salário mínimo,8
2019,ES,320530,PNB Mulheres menos 1 salário mínimo,19
2021,SE,280030,PNB Geral,20
2021,PA,150140,PNB Geral,31
2021,MG,310620,PNB Geral,11
2021,RR,140010,PNB Geral,15
2021,DF,530010,PNB Geral,28
2021,MS,500270,PNB Geral,13
2021,MT,510340,PNB Geral,3
2021,PR,410690,PNB Geral,17
2021,SC,420540,PNB Geral,17
2021,CE,230440,PNB Geral,47
2021,GO,520870,PNB Geral,6
2021,PB,250750,PNB Geral,10
2021,AP,160030,PNB Geral,0
2021,AL,270430,PNB Geral,7
2021,AM,130260,PNB Geral,3
2021,RN,240810,PNB Geral,5
2021,TO,172100,PNB Geral,20
2021,RS,431490,PNB Geral,14
2021,RO,110020,PNB Geral,1
2021,PE,261160,PNB Geral,26
2021,AC,120040,PNB Geral,9
2021,RJ,330455,PNB Geral,16
2021,BA,292740,PNB Geral,20
2021,MA,211130,PNB Geral,1
2021,SP,355030,PNB Geral,20
2021,PI,221100,PNB Geral,9
2021,ES,320530,PNB Geral,32
2021,SE,280030,PNB 0 1/2,16
2021,PA,150140,PNB 0 1/2,25
2021,MG,310620,PNB 0 1/2,10
2021,RR,140010,PNB 0 1/2,12
2021,DF,530010,PNB 0 1/2,22
2021,MS,500270,PNB 0 1/2,12
2021,MT,510340,PNB 0 1/2,3
2021,PR,410690,PNB 0 1/2,14
2021,SC,420540,PNB 0 1/2,12
2021,CE,230440,PNB 0 1/2,42
2021,GO,520870,PNB 0 1/2,4
2021,PB,250750,PNB 0 1/2,6
2021,AP,160030,PNB 0 1/2,0
2021,AL,270430,PNB 0 1/2,4
2021,AM,130260,PNB 0 1/2,2
2021,RN,240810,PNB 0 1/2,3
2021,TO,172100,PNB 0 1/2,16
2021,RS,431490,PNB 0 1/2,10
2021,RO,110020,PNB 0 1/2,0
2021,PE,261160,PNB 0 1/2,20
2021,AC,120040,PNB 0 1/2,6
2021,RJ,330455,PNB 0 1/2,12
2021,BA,292740,PNB 0 1/2,15
2021,MA,211130,PNB 0 1/2,1
2021,SP,355030,PNB 0 1/2,15
2021,PI,221100,PNB 0 1/2,6
2021,ES,320530,PNB 0 1/2,32
2021,SE,280030,PNB 1/2 1,20
2021,PA,150140,PNB 1/2 1,29
2021,MG,310620,PNB 1/2 1,11
2021,RR,140010,PNB 1/2 1,14
2021,DF,530010,PNB 1/2 1,24
2021,MS,500270,PNB 1/2 1,13
2021,MT,510340,PNB 1/2 1,3
2021,PR,410690,PNB 1/2 1,12
2021,SC,420540,PNB 1/2 1,10
2021,CE,230440,PNB 1/2 1,45
2021,GO,520870,PNB 1/2 1,4
2021,PB,250750,PNB 1/2 1,7
2021,AP,160030,PNB 1/2 1,0
2021,AL,270430,PNB 1/2 1,5
2021,AM,130260,PNB 1/2 1,2
2021,RN,240810,PNB 1/2 1,3
2021,TO,172100,PNB 1/2 1,18
2021,RS,431490,PNB 1/2 1,9
2021,RO,110020,PNB 1/2 1,0
2021,PE,261160,PNB 1/2 1,22
2021,AC,120040,PNB 1/2 1,7
2021,RJ,330455,PNB 1/2 1,11
2021,BA,292740,PNB 1/2 1,16
2021,MA,211130,PNB 1/2 1,1
2021,SP,355030,PNB 1/2 1,16
2021,PI,221100,PNB 1/2 1,8
2021,ES,320530,PNB 1/2 1,32
2021,SE,280030,PNB 1 3,23
2021,PA,150140,PNB 1 3,36
2021,MG,310620,PNB 1 3,12
2021,RR,140010,PNB 1 3,18
2021,DF,530010,PNB 1 3,28
2021,MS,500270,PNB 1 3,14
2021,MT,510340,PNB 1 3,3
2021,PR,410690,PNB 1 3,17
2021,SC,420540,PNB 1 3,15
2021,CE,230440,PNB 1 3,50
2021,GO,520870,PNB 1 3,6
2021,PB,250750,PNB 1 3,12
2021,AP,160030,PNB 1 3,0
2021,AL,270430,PNB 1 3,10
2021,AM,130260,PNB 1 3,3
2021,RN,240810,PNB 1 3,5
2021,TO,172100,PNB 1 3,24
2021,RS,431490,PNB 1 3,15
2021,RO,110020,PNB 1 3,1
2021,PE,261160,PNB 1 3,31
2021,AC,120040,PNB 1 3,11
2021,RJ,330455,PNB 1 3,14
2021,BA,292740,PNB 1 3,22
2021,MA,211130,PNB 1 3,1
2021,SP,355030,PNB 1 3,21
2021,PI,221100,PNB 1 3,11
2021,ES,320530,PNB 1 3,32
2021,SE,280030,PNB 3 mais,24
2021,PA,150140,PNB 3 mais,44
2021,MG,310620,PNB 3 mais,14
2021,RR,140010,PNB 3 mais,24
2021,DF,530010,PNB 3 mais,41
2021,MS,500270,PNB 3 mais,17
2021,MT,510340,PNB 3 mais,5
2021,PR,410690,PNB 3 mais,29
2021,SC,420540,PNB 3 mais,28
2021,CE,230440,PNB 3 mais,67
2021,GO,520870,PNB 3 mais,14
2021,PB,250750,PNB 3 mais,24
2021,AP,160030,PNB 3 mais,0
2021,AL,270430,PNB 3 mais,24
2021,AM,130260,PNB 3 mais,7
2021,RN,240810,PNB 3 mais,10
2021,TO,172100,PNB 3 mais,24
2021,RS,431490,PNB 3 mais,24
2021,RO,110020,PNB 3 mais,1
2021,PE,261160,PNB 3 mais,45
2021,AC,120040,PNB 3 mais,17
2021,RJ,330455,PNB 3 mais,30
2021,BA,292740,PNB 3 mais,40
2021,MA,211130,PNB 3 mais,5
2021,SP,355030,PNB 3 mais,34
2021,PI,221100,PNB 3 mais,16
2021,ES,320530,PNB 3 mais,33
2021,SE,280030,PNB Mulheres negras,19
2021,PA,150140,PNB Mulheres negras,30
2021,MG,310620,PNB Mulheres negras,11
2021,RR,140010,PNB Mulheres negras,15
2021,DF,530010,PNB Mulheres negras,26
2021,MS,500270,PNB Mulheres negras,13
2021,MT,510340,PNB Mulheres negras,3
2021,PR,410690,PNB Mulheres negras,13
2021,SC,420540,PNB Mulheres negras,10
2021,CE,230440,PNB Mulheres negras,45
2021,GO,520870,PNB Mulheres negras,4
2021,PB,250750,PNB Mulheres negras,8
2021,AP,160030,PNB Mulheres negras,0
2021,AL,270430,PNB Mulheres negras,6
2021,AM,130260,PNB Mulheres negras,2
2021,RN,240810,PNB Mulheres negras,4
2021,TO,172100,PNB Mulheres negras,20
2021,RS,431490,PNB Mulheres negras,10
2021,RO,110020,PNB Mulheres negras,0
2021,PE,261160,PNB Mulheres negras,23
2021,AC,120040,PNB Mulheres negras,8
2021,RJ,330455,PNB Mulheres negras,12
2021,BA,292740,PNB Mulheres negras,18
2021,MA,211130,PNB Mulheres negras,1
2021,SP,355030,PNB Mulheres negras,15
2021,PI,221100,PNB Mulheres negras,8
2021,ES,320530,PNB Mulheres negras,32
2021,SE,280030,PNB Mulheres menos 1 salário mínimo,19
2021,PA,150140,PNB Mulheres menos 1 salário mínimo,30
2021,MG,310620,PNB Mulheres menos 1 salário mínimo,11
2021,RR,140010,PNB Mulheres menos 1 salário mínimo,14
2021,DF,530010,PNB Mulheres menos 1 salário mínimo,26
2021,MS,500270,PNB Mulheres menos 1 salário mínimo,13
2021,MT,510340,PNB Mulheres menos 1 salário mínimo,3
2021,PR,410690,PNB Mulheres menos 1 salário mínimo,16
2021,SC,420540,PNB Mulheres menos 1 salário mínimo,15
2021,CE,230440,PNB Mulheres menos 1 salário mínimo,45
2021,GO,520870,PNB Mulheres menos 1 salário mínimo,5
2021,PB,250750,PNB Mulheres menos 1 salário mínimo,9
2021,AP,160030,PNB Mulheres menos 1 salário mínimo,0
2021,AL,270430,PNB Mulheres menos 1 salário mínimo,6
2021,AM,130260,PNB Mulheres menos 1 salário mínimo,2
2021,RN,240810,PNB Mulheres menos 1 salário mínimo,4
2021,TO,172100,PNB Mulheres menos 1 salário mínimo,19
2021,RS,431490,PNB Mulheres menos 1 salário mínimo,11
2021,RO,110020,PNB Mulheres menos 1 salário mínimo,0
2021,PE,261160,PNB Mulheres menos 1 salário mínimo,24
2021,AC,120040,PNB Mulheres menos 1 salário mínimo,8
2021,RJ,330455,PNB Mulheres menos 1 salário mínimo,14
2021,BA,292740,PNB Mulheres menos 1 salário mínimo,18
2021,MA,211130,PNB Mulheres menos 1 salário mínimo,1
2021,SP,355030,PNB Mulheres menos 1 salário mínimo,18
2021,PI,221100,PNB Mulheres menos 1 salário mínimo,8
2021,ES,320530,PNB Mulheres menos 1 salário mínimo,32
