ano,sigla_uf,id_municipio,taxa_motorizacao
2001,SE,2800308,299.209689577341
2001,PA,1501402,103.110907342864
2001,MG,3106200,291.754192496471
2001,RR,1400100,180.122198029868
2001,DF,5300108,290.959914600941
2001,MS,5002704,258.654371313197
2001,MT,5103403,221.077959967052
2001,PR,4106902,415.39939971078
2001,SC,4205407,378.143081319292
2001,CE,2304400,161.800722839039
2001,GO,5208707,391.41632677295
2001,PB,2507507,166.91168360384
2001,AP,1600303,91.5450594461605
2001,AL,2704302,121.921501656383
2001,AM,1302603,115.187216159145
2001,RN,2408102,186.635906412018
2001,TO,1721000,162.740913549482
2001,RS,4314902,327.853155107394
2001,RO,1100205,131.877731809364
2001,PE,2611606,187.595933731796
2001,AC,1200401,139.157709520713
2001,RJ,3304557,226.995236104882
2001,BA,2927408,132.727495089918
2001,MA,2111300,103.266230209565
2001,SP,3550308,361.621383403753
2001,PI,2211001,138.124055915849
2001,ES,3205309,288.981527775901
2002,SE,2800308,312.934211831026
2002,PA,1501402,106.268848998588
2002,MG,3106200,303.559078087327
2002,RR,1400100,197.766394302255
2002,DF,5300108,303.611314735169
2002,MS,5002704,275.633926263701
2002,MT,5103403,232.871865805296
2002,PR,4106902,433.421500668856
2002,SC,4205407,404.471978724407
2002,CE,2304400,169.171430154556
2002,GO,5208707,404.876053110228
2002,PB,2507507,175.738915659342
2002,AP,1600303,100.677467439486
2002,AL,2704302,129.474438381252
2002,AM,1302603,123.026857110233
2002,RN,2408102,197.037460602719
2002,TO,1721000,184.668946300353
2002,RS,4314902,338.069787647439
2002,RO,1100205,145.343889789676
2002,PE,2611606,196.684228867566
2002,AC,1200401,147.841189213416
2002,RJ,3304557,237.130201458486
2002,BA,2927408,139.597874075978
2002,MA,2111300,109.022278551944
2002,SP,3550308,375.232876040324
2002,PI,2211001,152.612916477482
2002,ES,3205309,303.503843237339
2003,SE,2800308,331.435884502269
2003,PA,1501402,110.06018468159
2003,MG,3106200,318.414944496776
2003,RR,1400100,218.353413836319
2003,DF,5300108,316.530953438893
2003,MS,5002704,288.758100499309
2003,MT,5103403,243.734207605538
2003,PR,4106902,445.684343050538
2003,SC,4205407,425.318746579536
2003,CE,2304400,175.106471716352
2003,GO,5208707,416.823574782786
2003,PB,2507507,184.984049946091
2003,AP,1600303,108.783696876343
2003,AL,2704302,136.816933299127
2003,AM,1302603,130.674504391369
2003,RN,2408102,204.762659205096
2003,TO,1721000,202.078106123966
2003,RS,4314902,347.749240541287
2003,RO,1100205,156.559620975192
2003,PE,2611606,202.637341581584
2003,AC,1200401,157.436579191783
2003,RJ,3304557,244.065991070426
2003,BA,2927408,145.085195012261
2003,MA,2111300,115.903612892328
2003,SP,3550308,387.70287849071
2003,PI,2211001,164.826259142155
2003,ES,3205309,313.604266553879
2004,SE,2800308,235.095487275817
2004,PA,1501402,112.419778980181
2004,MG,3106200,325.901358142131
2004,RR,1400100,224.700510750299
2004,DF,5300108,322.869929611503
2004,MS,5002704,298.355680747081
2004,MT,5103403,255.87707227074
2004,PR,4106902,462.59025714964
2004,SC,4205407,427.158043281048
2004,CE,2304400,177.308537003083
2004,GO,5208707,424.100122054649
2004,PB,2507507,189.046981105927
2004,AP,1600303,119.874657697892
2004,AL,2704302,137.891261081961
2004,AM,1302603,138.134004791043
2004,RN,2408102,210.225811630885
2004,TO,1721000,223.087950799141
2004,RS,4314902,353.078977634971
2004,RO,1100205,162.482540616041
2004,PE,2611606,206.835302908326
2004,AC,1200401,165.120489929461
2004,RJ,3304557,248.274489915472
2004,BA,2927408,148.368569258436
2004,MA,2111300,120.126281898899
2004,SP,3550308,396.397461992488
2004,PI,2211001,172.802030234295
2004,ES,3205309,322.674446781494
2005,SE,2800308,244.529390175665
2005,PA,1501402,118.155221922922
2005,MG,3106200,339.808085532573
2005,RR,1400100,234.838693693508
2005,DF,5300108,335.422963703352
2005,MS,5002704,316.271166547519
2005,MT,5103403,277.000749344324
2005,PR,4106902,489.900472380744
2005,SC,4205407,442.663151686837
2005,CE,2304400,183.817386852069
2005,GO,5208707,440.347508671897
2005,PB,2507507,197.544484093475
2005,AP,1600303,126.961126367442
2005,AL,2704302,143.377205264632
2005,AM,1302603,149.591716372082
2005,RN,2408102,218.18672561822
2005,TO,1721000,267.460908413999
2005,RS,4314902,363.201128861563
2005,RO,1100205,185.66687259472
2005,PE,2611606,214.124774817989
2005,AC,1200401,169.13561267912
2005,RJ,3304557,254.319898171748
2005,BA,2927408,155.364757102889
2005,MA,2111300,129.59633192484
2005,SP,3550308,411.292383728565
2005,PI,2211001,184.139162978449
2005,ES,3205309,338.458150342151
2006,SE,2800308,259.219531117031
2006,PA,1501402,125.866023321721
2006,MG,3106200,364.229640988033
2006,RR,1400100,252.075864693277
2006,DF,5300108,354.720478029889
2006,MS,5002704,335.012094134312
2006,MT,5103403,294.123173335347
2006,PR,4106902,513.042063471208
2006,SC,4205407,459.890693716119
2006,CE,2304400,193.036178276484
2006,GO,5208707,462.657692648057
2006,PB,2507507,211.202221160842
2006,AP,1600303,141.758083650273
2006,AL,2704302,144.164829184635
2006,AM,1302603,161.546415686126
2006,RN,2408102,231.982438194395
2006,TO,1721000,350.605960459778
2006,RS,4314902,373.416917718238
2006,RO,1100205,205.318473176647
2006,PE,2611606,223.318407553008
2006,AC,1200401,184.317171080487
2006,RJ,3304557,261.043806948805
2006,BA,2927408,164.085131344007
2006,MA,2111300,141.948246417965
2006,SP,3550308,433.084653366801
2006,PI,2211001,200.406249103771
2006,ES,3205309,356.986297049687
2007,SE,2800308,274.753364866241
2007,PA,1501402,141.567537142074
2007,MG,3106200,398.578164286925
2007,RR,1400100,294.2570231296
2007,DF,5300108,377.083296856594
2007,MS,5002704,387.076204514964
2007,MT,5103403,333.170092819316
2007,PR,4106902,552.132849080454
2007,SC,4205407,508.082465599423
2007,CE,2304400,207.653979267217
2007,GO,5208707,494.050914116073
2007,PB,2507507,233.314857683153
2007,AP,1600303,173.478075158432
2007,AL,2704302,160.235906640727
2007,AM,1302603,183.720170387258
2007,RN,2408102,260.879841907444
2007,TO,1721000,452.54672451874
2007,RS,4314902,397.16344505785
2007,RO,1100205,240.55557811802
2007,PE,2611606,235.02393093285
2007,AC,1200401,227.780855287831
2007,RJ,3304557,275.907725513468
2007,BA,2927408,166.043645477724
2007,MA,2111300,167.911729842352
2007,SP,3550308,469.843250155835
2007,PI,2211001,230.228261440959
2007,ES,3205309,390.55922456232
2008,SE,2800308,290.762595825144
2008,PA,1501402,155.189435751381
2008,MG,3106200,436.426382195
2008,RR,1400100,321.408040470624
2008,DF,5300108,393.7785619817
2008,MS,5002704,409.334184523594
2008,MT,5103403,362.497865942648
2008,PR,4106902,577.595110092927
2008,SC,4205407,537.189384261307
2008,CE,2304400,222.429611087259
2008,GO,5208707,533.574523033933
2008,PB,2507507,254.555737993484
2008,AP,1600303,189.674669934823
2008,AL,2704302,169.601457783049
2008,AM,1302603,197.130502454637
2008,RN,2408102,279.118868763822
2008,TO,1721000,449.453834030759
2008,RS,4314902,419.309616702326
2008,RO,1100205,273.488472675679
2008,PE,2611606,250.381295242519
2008,AC,1200401,252.894843363261
2008,RJ,3304557,287.607284930629
2008,BA,2927408,175.958623585113
2008,MA,2111300,183.789239440388
2008,SP,3550308,501.630763779783
2008,PI,2211001,257.499858297173
2008,ES,3205309,418.52701397345
2009,SE,2800308,319.932945983652
2009,PA,1501402,171.427378964942
2009,MG,3106200,474.775311432645
2009,RR,1400100,353.951465149999
2009,DF,5300108,420.652617971257
2009,MS,5002704,438.923225450168
2009,MT,5103403,404.087096457801
2009,PR,4106902,599.396612495037
2009,SC,4205407,571.009969105329
2009,CE,2304400,240.412891051553
2009,GO,5208707,572.520524971236
2009,PB,2507507,280.228128760315
2009,AP,1600303,212.885146418398
2009,AL,2704302,184.428514365907
2009,AM,1302603,214.692394807209
2009,RN,2408102,301.229342981854
2009,TO,1721000,462.927721381431
2009,RS,4314902,439.670557466178
2009,RO,1100205,326.563557097294
2009,PE,2611606,269.576136659796
2009,AC,1200401,288.108669930774
2009,RJ,3304557,303.080635749857
2009,BA,2927408,188.417761376038
2009,MA,2111300,204.983863170922
2009,SP,3550308,529.592638539943
2009,PI,2211001,288.614730535788
2009,ES,3205309,446.938367545821
2010,SE,2800308,336.476120942171
2010,PA,1501402,195.916603930389
2010,MG,3106200,535.647207272296
2010,RR,1400100,377.787860562127
2010,DF,5300108,463.030317178697
2010,MS,5002704,460.084367378117
2010,MT,5103403,448.014690672076
2010,PR,4106902,662.027721791168
2010,SC,4205407,589.875130566898
2010,CE,2304400,271.724196991663
2010,GO,5208707,607.481100244931
2010,PB,2507507,306.670905233478
2010,AP,1600303,225.947002039156
2010,AL,2704302,205.645040246669
2010,AM,1302603,230.57090566444
2010,RN,2408102,330.018824518905
2010,TO,1721000,430.561638316136
2010,RS,4314902,466.904979667946
2010,RO,1100205,348.367780793276
2010,PE,2611606,301.085254379256
2010,AC,1200401,302.596730131711
2010,RJ,3304557,314.105998215949
2010,BA,2927408,229.106432216996
2010,MA,2111300,229.980775237797
2010,SP,3550308,541.654896257636
2010,PI,2211001,326.142490451101
2010,ES,3205309,462.240810735782
2011,SE,2800308,361.082401740622
2011,PA,1501402,214.126254586122
2011,MG,3106200,572.678012054632
2011,RR,1400100,407.348808733546
2011,DF,5300108,488.248070783223
2011,MS,5002704,492.361714633056
2011,MT,5103403,487.314353098519
2011,PR,4106902,689.969623811305
2011,SC,4205407,618.111949974023
2011,CE,2304400,296.821555776917
2011,GO,5208707,642.066748195195
2011,PB,2507507,336.049452093285
2011,AP,1600303,247.853315414608
2011,AL,2704302,223.780072080746
2011,AM,1302603,249.217566031424
2011,RN,2408102,351.550358913639
2011,TO,1721000,464.420032722096
2011,RS,4314902,487.310115250649
2011,RO,1100205,400.459456730284
2011,PE,2611606,325.450884439605
2011,AC,1200401,329.680570730767
2011,RJ,3304557,331.305364470357
2011,BA,2927408,243.663788862881
2011,MA,2111300,255.574837774678
2011,SP,3550308,559.034526675108
2011,PI,2211001,362.185555527182
2011,ES,3205309,482.479441859339
2012,SE,2800308,382.764364872614
2012,PA,1501402,231.129513694405
2012,MG,3106200,603.01780001127
2012,RR,1400100,432.615276856401
2012,DF,5300108,514.031924099841
2012,MS,5002704,520.848724293733
2012,MT,5103403,521.075875288823
2012,PR,4106902,716.981068359785
2012,SC,4205407,642.513817129084
2012,CE,2304400,317.881332408605
2012,GO,5208707,678.401100042211
2012,PB,2507507,360.266566820835
2012,AP,1600303,260.543756046146
2012,AL,2704302,241.494326054418
2012,AM,1302603,266.141307675534
2012,RN,2408102,371.938257561859
2012,TO,1721000,495.716115173297
2012,RS,4314902,509.238279568071
2012,RO,1100205,435.625851308219
2012,PE,2611606,347.024737000165
2012,AC,1200401,352.827870499549
2012,RJ,3304557,349.769885247774
2012,BA,2927408,259.667026685671
2012,MA,2111300,276.631621473437
2012,SP,3550308,571.473588308018
2012,PI,2211001,393.609730303976
2012,ES,3205309,501.966010529412
2013,SE,2800308,389.197773427902
2013,PA,1501402,245.823404085216
2013,MG,3106200,612.566731137298
2013,RR,1400100,449.041411539308
2013,DF,5300108,518.706799614734
2013,MS,5002704,536.401666602591
2013,MT,5103403,553.040380464349
2013,PR,4106902,718.774912842235
2013,SC,4205407,644.548131969953
2013,CE,2304400,333.78477830995
2013,GO,5208707,680.546795113288
2013,PB,2507507,372.23673901095
2013,AP,1600303,264.611577657025
2013,AL,2704302,247.971121654445
2013,AM,1302603,270.508133229273
2013,RN,2408102,377.759014811553
2013,TO,1721000,506.479155034431
2013,RS,4314902,514.373054933316
2013,RO,1100205,427.066838215888
2013,PE,2611606,355.618866492489
2013,AC,1200401,369.631068830943
2013,RJ,3304557,366.068769408281
2013,BA,2927408,257.386910207159
2013,MA,2111300,292.126931594558
2013,SP,3550308,567.98909952763
2013,PI,2211001,426.806539346663
2013,ES,3205309,498.463826708167
2014,SE,2800308,403.749162346136
2014,PA,1501402,259.378550630773
2014,MG,3106200,636.405311851067
2014,RR,1400100,473.794855509686
2014,DF,5300108,532.315209937554
2014,MS,5002704,559.947575671316
2014,MT,5103403,583.530270382985
2014,PR,4106902,746.85477919091
2014,SC,4205407,657.148923999619
2014,CE,2304400,352.172094050459
2014,GO,5208707,695.649280213883
2014,PB,2507507,389.487894786727
2014,AP,1600303,277.728160946555
2014,AL,2704302,261.724885334904
2014,AM,1302603,285.174337883315
2014,RN,2408102,392.701532636385
2014,TO,1721000,531.530581103128
2014,RS,4314902,531.67576921144
2014,RO,1100205,444.95792620842
2014,PE,2611606,368.667966438046
2014,AC,1200401,388.090501417863
2014,RJ,3304557,383.013603707155
2014,BA,2927408,266.768334167549
2014,MA,2111300,306.610524179264
2014,SP,3550308,589.702933609104
2014,PI,2211001,457.505353319058
2014,ES,3205309,508.957580714789
2015,SE,2800308,414.346086252892
2015,PA,1501402,269.648872121431
2015,MG,3106200,653.405297062165
2015,RR,1400100,494.752333855086
2015,DF,5300108,541.590418652203
2015,MS,5002704,577.148901973004
2015,MT,5103403,601.708214970482
2015,PR,4106902,750.479818874029
2015,SC,4205407,664.80231642147
2015,CE,2304400,366.157916754786
2015,GO,5208707,697.527149354475
2015,PB,2507507,404.260346356885
2015,AP,1600303,286.074739516541
2015,AL,2704302,271.448341985829
2015,AM,1302603,293.306494449415
2015,RN,2408102,404.619094802714
2015,TO,1721000,546.218549019895
2015,RS,4314902,542.027819702113
2015,RO,1100205,458.14006221805
2015,PE,2611606,375.175845899938
2015,AC,1200401,402.96856024828
2015,RJ,3304557,394.702122137266
2015,BA,2927408,273.856958043359
2015,MA,2111300,317.705767706839
2015,SP,3550308,607.527265814799
2015,PI,2211001,482.547127907183
2015,ES,3205309,506.883034773446
2016,SE,2800308,417.794841338502
2016,PA,1501402,277.67174120807
2016,MG,3106200,678.052605759969
2016,RR,1400100,510.200080264936
2016,DF,5300108,546.385952514026
2016,MS,5002704,588.092113030133
2016,MT,5103403,613.094007690902
2016,PR,4106902,744.868656074957
2016,SC,4205407,668.71564970971
2016,CE,2304400,374.106990952272
2016,GO,5208707,700.008766849436
2016,PB,2507507,416.33342397202
2016,AP,1600303,287.880643186286
2016,AL,2704302,278.196629372943
2016,AM,1302603,296.608894900713
2016,RN,2408102,412.607586975396
2016,TO,1721000,552.262592190269
2016,RS,4314902,547.685073587847
2016,RO,1100205,465.09617209063
2016,PE,2611606,376.722689644269
2016,AC,1200401,411.245514603893
2016,RJ,3304557,402.49170736241
2016,BA,2927408,278.838443452417
2016,MA,2111300,325.010273008075
2016,SP,3550308,621.02179109375
2016,PI,2211001,503.285227098403
2016,ES,3205309,501.942679145054
2017,SE,2800308,422.889498020323
2017,PA,1501402,282.89545712761
2017,MG,3106200,724.317436367627
2017,RR,1400100,524.149147641708
2017,DF,5300108,551.746635239866
2017,MS,5002704,601.96177119914
2017,MT,5103403,625.45287552659
2017,PR,4106902,743.509999952839
2017,SC,4205407,674.784598981553
2017,CE,2304400,381.46674268368
2017,GO,5208707,705.211427558054
2017,PB,2507507,428.521262989805
2017,AP,1600303,292.391501266047
2017,AL,2704302,287.474165046364
2017,AM,1302603,301.564031500321
2017,RN,2408102,421.404686052554
2017,TO,1721000,562.853267407519
2017,RS,4314902,551.837413068937
2017,RO,1100205,472.610677735082
2017,PE,2611606,381.39263278319
2017,AC,1200401,422.333958371909
2017,RJ,3304557,407.88213241607
2017,BA,2927408,284.290785399795
2017,MA,2111300,333.783021390864
2017,SP,3550308,636.045996834868
2017,PI,2211001,523.232235314597
2017,ES,3205309,501.277744120725
2018,SE,2800308,434.160992019281
2018,PA,1501402,285.629575185834
2018,MG,3106200,797.15947066969
2018,RR,1400100,482.593360222072
2018,DF,5300108,583.372188752961
2018,MS,5002704,616.970998440801
2018,MT,5103403,632.712018222754
2018,PR,4106902,754.258457060743
2018,SC,4205407,684.987332066202
2018,CE,2304400,390.835968034769
2018,GO,5208707,710.957708906502
2018,PB,2507507,455.279930727969
2018,AP,1600303,293.875624450504
2018,AL,2704302,304.461161893435
2018,AM,1302603,312.286407848445
2018,RN,2408102,438.30727861082
2018,TO,1721000,579.455551558137
2018,RS,4314902,560.994820502454
2018,RO,1100205,493.579786384258
2018,PE,2611606,389.031489149694
2018,AC,1200401,422.719397739029
2018,RJ,3304557,405.145548755428
2018,BA,2927408,303.705313598819
2018,MA,2111300,345.555314995336
2018,SP,3550308,652.959061880126
2018,PI,2211001,538.577176408859
2018,ES,3205309,519.763193372541
